plaintext,ciphertext,key,cipher_type
mijzmsizosumyyjdtxsh,wpxhwnphinkweexldang,jmvlyczgpxqowsibfundktraeh,Substitution
xmrliimwd ybxavswdcv,tfbyqefgq gxqkiaswmi,wtkni,Vigenère
vrfmlebzhzrajbpyouvq,ieszyromumenwoclbhid,None,ROT13
iusxfucel xkphalxijh,ybomebtiw mxaklwmypk,lrtjiefkypxwuvsagnocbqdmzh,Substitution
hfwrhdgxorgcyx  ex f,sudiswtclitxbc  vc u,None,Atbash
ntvqzobinc gmtoiveua,wyrelqaiwu tmyqirbdh,haugbptxiozfmwqnescydrkjvl,Substitution
sakktstuwtqbtefsxrsd,hzppghgfdgjygvuhcihw,None,Atbash
ortt o ceakgounnpxwn,ligg l xvzptlfmmkcdm,None,Atbash
uxkssxxyjqeyzwzsylih,uksxjezzyixsxyqywslh,2,Rail Fence
rdlqptjvjjcroizxnyrp,rlpjjcoznrdqtvjrixyp,2,Rail Fence
kxnkoyehqzpdur rzfho,nryvyibuannhbhmgczyb,dullk,Autokey
mxbmvqstwricx xvczn ,vhvwqcpuimyuqjodewak,jkukv,Autokey
xx rjlitqmsjparfcldb,oo yibwgtfhilmysebpq,mqepxsvdwijbfzultyhgkarocn,Substitution
 z vecmmipdscdras zq, u khassljwiawpmi ux,mrawhzgnlydtscejxpifokqvbu,Substitution
muastos wggsrpidgvox,jrxpqlp tddpomfadslu,23,Caesar
wgilbdvzofwjzpx euoy,gmipjfvnwbgtnhr qkwc,"(11, 24)",Affine
vd bmaxefhvnlimgmagu,iq oznkrsuiayvztznth,None,ROT13
gmxmzeclmfmqbcyyaj a,msdsfkirslswhieegp g,6,Caesar
acqhavdmxftbzwhluyya,adzycvmbwyaqaxthuhfl,4,Rail Fence
banqruwsscxowjoundme,onadehjffpkbjwbhaqzr,None,ROT13
wypbeltwqvgxpidvpmbm,gizlovdgafqhzsnfzwlw,10,Caesar
chv d  bbfvdvrureawe,pmo e  aaioeogzgtldt,"(15, 11)",Affine
crangsepedxmycxxptsn,xizmthvkvwcnbxcckghm,None,Atbash
lswuusdvbfu hwkazkbs,ohdffhweyuf sdpzapyh,None,Atbash
tbyreufdhvmmmwhhvmbe,gybivfuwsennndssenyv,None,Atbash
sxuaaldcyu wfahimtki,gfquuxjekq atudiclsi,"(5, 20)",Affine
xjxnyivyxgljgvkhtpbk,mymkqedqmxfyxdtgahbt,wbvpnoxgeytfjkchrlzaudimqs,Substitution
xlgrquiobrpemuslivvr,mujmartushjmavjamhpj,pjdvk,Autokey
uukzpsfklrtijdfcovfb,ffpakhupoigrqwuxleuy,None,Atbash
leyqwmofohx yad ioxx,ovbjdnlulsc bzw rlcc,None,Atbash
kvl ijwpktmdbcqidszp,doe bcpidmfwuvjbwlsi,19,Caesar
lbvignwlbuqmtpiqxqsz,lvgwbqtixsbinlumpqqz,2,Rail Fence
zukoyspwtkcsnr rlrbn,xucmsrjghiuhjkxtdesa,yasyu,Autokey
amikkgcpobqqmflnfqwx,gcuzzrmpatddcbokbdfh,gtmvjbrxuyzockapdelswnfhiq,Substitution
mwivhgnpkgosaspsmpyd,mnaywgpsspdihkopmvgs,4,Rail Fence
arrgbpqwcmamnwtzcoaa,jssdiutnhxjxwnqkhvjj,"(25, 9)",Affine
qqiveedaggqtolinxqqm,qnxgfeaprhqqdwjnufbn,axplb,Vigenère
iwueooijboqdoijq vgi,vjhrbbvwobdqbvwd itv,"(1, 13)",Affine
crxt fwekxpqzzth ann,fuaw izhnastccwk dqq,3,Caesar
xhsfpikxiyzyv  akayc,uwtgirhurpkpe  fhfpv,"(21, 5)",Affine
tofnrgfbpkrnromiuobv,wfzktjwvmmuellolliyx,druxc,Vigenère
jmxgryjgbyyxujbqhubz,adoxipaxsppolashylsq,17,Caesar
jmkaxmughlpiobpiwtnp,wzxnkzhtuycvbocvjgac,None,ROT13
mgafyjr lrjawboiahch,waefolx bxleyzmqevuv,"(21, 4)",Affine
pfvkpzlijjrjrfcslqli,txbitpfollnlnxgkfqfo,"(23, 12)",Affine
bvfdllowaovbn awlnbz,yeuwooldzleym zdomya,None,Atbash
oohms jeekhvdnrxwjvy,osedwom ekvnxjyhjhrv,3,Rail Fence
eodzblrvqeojgujgurwp,gvllqnydctqqogyibzie,chimp,Vigenère
uxohgjwuuhd kxtae fp,twngfivttgc jwszd eo,25,Caesar
ijmcpnv snafesmgklim,ghkanlt qlydcqkeijgk,24,Caesar
vw jhxmmgz  owwdrcbe,stspusizpgkzacvqeqxa,xxfgn,Autokey
rpakirdqwvfstctrucxh,qkwfyqymrlenpxjqpysx,zvwvq,Vigenère
vn vprrryc fukgcfyzk,em ekiiibx ufptxubap,None,Atbash
gaa umsdvhxyitjooczr,icc woufxjzakvlqqebt,2,Caesar
bbrbkmeencfvsqajvijc,xxlxpuqqjfrdniegdzgf,exfbqrhmzgpoujkyilnsadtcwv,Substitution
mxzuopna isvi dtvicl,yjlgabzm uehu pfhuox,12,Caesar
yyctxmhclydwliirbbmu,ypmihmymaidnvxsrslbe,arkpk,Vigenère
nivstvseubhhqibtrrdl,zgfdhhqofptfatpfpboz,myklo,Vigenère
ktzwwjupbldrhjgumzq ,pgaddqfkyowisqtfnaj ,None,Atbash
bxvqihvzsbultyoeovan,okidvuimfohyglbrbina,None,ROT13
nlfscbfmcwfukoluxkez,lsrehpruhzrnbxsntbqk,dphmqrafwjbsulxigyecnoztvk,Substitution
dvcwudlutnnausnnpivc,rlpdwggwphqlolaapcnp,oqnhc,Autokey
kpkq  hh ucg ukkfyyo,agaf  hh jns jaawiir,clnkuwshqtapdxrgfmbejzoviy,Substitution
pkzpchekfgvxnubxehpr,hgjhuvkgfadtriztkvhx,"(21, 4)",Affine
rbketvwrkufduxlnvxbd,iypvgedipfuwfcomecyw,None,Atbash
w zwoozljp lyschegrh,h hzwzktmx wjafpprzk,lidil,Vigenère
vqnducbbgqwafeffrznz,vbfnqcbaezznugwfrdqf,4,Rail Fence
rzljmpcvblooeavsjzqb,iaoqnkxeyollvzehqajy,None,Atbash
pcewjvskzaqhzid vqxl,zmogtfcujkarjsn fahv,10,Caesar
mrxbhsqftown tlozbnk,nicyshjugldm golaymp,None,Atbash
dsqqsaigqhtbh pu afq,tweewqpjezogz yc qke,qgrtnkjzpbdlfvayehwocmsiux,Substitution
lbempndmzclozmlcan d,eekivggsvierfirvdt z,tdgwg,Vigenère
yqutfgtrwerhokug  ru,yfwo qtgrehkg uutrur,3,Rail Fence
mrmdzimozrfdbqxlgqzq,ijibvciyvjrblofnmovo,"(21, 16)",Affine
zaekncsct ajghgmhfwj,zthac mfesagwkcjhjng,5,Rail Fence
gcxocljyycmqngancdop,gyccycndxjmaoolqgpcn,5,Rail Fence
iiiukuprajzxngs brlc,hhhcqceiapkjwms rifd,ardbtgmxhpqflwvezisocyujnk,Substitution
apzzlzgpeeydorri wom,zkaaoatkvvbwliir dln,None,Atbash
naigjytqhxk sdgrjxuf,iweybxqtpoh lzynbokd,wmfzvdypebhjuiactnlqksgoxr,Substitution
mkoextjwndojikeyib  ,vtrfxdjuebrjotfyos  ,hsgbfkpwojtzvercqamdniuxyl,Substitution
 sfggpakjfldptqquunq, bdyxljibwhmnlhmdsfh,jysrw,Vigenère
oqkldzonmutowhleeehu,btjcemrmdvgrvymrhdyv,ndzrb,Vigenère
ybujyxlanphcqm ghjni,wihfwuackbvogx svfkz,cioyrdsvzfjaxkmbgpeqhltuwn,Substitution
wzozhfbylkmowtblriei,alolxhbqdiyoapbdzsms,"(21, 6)",Affine
zqoje x kwpapjodexqr,exzicmnbtacxctksemzf,fhlzy,Autokey
togvpksbturfipzlelyc,tjoihdsxtlyqchebnbaf,uxfknqomcpdbzvjhwystlirgae,Substitution
cepebgyetomjdafpgobt,pzaxnictxpshhttbprby,nvltm,Autokey
fvsvczcyyzvqrxtvv zc,yistkspywhodrvboi za,tnayi,Vigenère
splhg  yzosaqafpicds,wtplk  cdsweuejtmghw,4,Caesar
erjquombgxnqja nilxr,rewdhbzotkadwn avyke,None,ROT13
 sixkovuseysamdazppb, hrcplefhvbhznwzakky,None,Atbash
pedllngmoxxmjvmjfuvl,plojfelnmxmvjuldgxmv,3,Rail Fence
eirivsbqscry kbjbvel,ppqqqdipaxcf jjemcdt,lhziv,Vigenère
pzzngxwjdqhhfigoosmn,frleumviqwedolwvvxut,qsmro,Autokey
 ehtfoooaegkkkpknsdc, rgjnzbnqmrxjaxvartk,nzqil,Vigenère
ducnazotlbghimkmflgw,vmufsrgldtyzaecexdyo,18,Caesar
ipvdljkcjwscrkzwmnfi,mxdfqnsklbwkzmeauvhn,eiicf,Vigenère
qbeoa kzcxiyuthrvovh,buuaodldqxvitveztioo,ltqmo,Autokey
dpbcmctdufprujzuqmyz,abnznfiewrrkxdejhghy,xmmxb,Autokey
qbkerxzevcg nqicjbvd,jvvxeqtpopz hbbpcvgw,tultn,Vigenère
otgobycnrmmme qa ejz,lgtlybxminnnv jz vqa,None,Atbash
avcmlwhiqfgkqmyifpls,nipzyjuvdstxdzlvscyf,None,ROT13
 hrzmezdfgazyznnjwip, gswjqwarozwfwuudiby,zmhaqrogbdnpjuxykscletivfw,Substitution
x vbslhojmexkdsbmoig,k iofyubwzrkxqfozbvt,None,ROT13
tgdhe qahjy qtxtbuzw,gtwsv jzsqb jgcgyfad,None,Atbash
jjxctsjscwxvywogaxhm,ttxnbetenjxipjvsrxwg,rknmcyswdtaugfvolhebzijxpq,Substitution
olckxwvwhtwjkzfzqpet,bypxkjijugjwxmsmdcrg,None,ROT13
gvuhphrupylqzcoftbrl,crqdldnqluhmvykbpxnh,22,Caesar
zuuutyqpzxijscxvuyqb,tzllixkjtqgzhbuddqsy,ufrrp,Autokey
chn afqqyllzfwjvtaoc,pua nsddlyymsjwignbp,None,ROT13
wlyjesfvyefuechssenj,ewksaoqthixzzalxmipq,ilmjw,Autokey
 yqec vjxgzofdnrclrk, cxfcye jgodrlkqvznr,3,Rail Fence
btcr y zqgk  pxbypfm,ypubgzgbhtiamfdllcuj,xwskt,Autokey
vqzkfnloqiwbleohgl l,dkqgwfihkzumirheai i,tmnlrwaezbgivfhokjxcsdupyq,Substitution
vjfoa dzf aabmzhxhmx,mfjou uvj ausidhryib,rweau,Vigenère
odbxhqytphwpkeisjhnc,wdyhmyyqzmephonajexh,iaxkf,Vigenère
rzqzogtjzflsnxvcphez,btzrexszytrlwwanhubu,kujsq,Autokey
agyefjsi yxery murat,a ugiymrysx aejeytfr,5,Rail Fence
ukbnikcwapof etgxxpe,xwvzwnoqmdrr yfuajjq,dmumo,Vigenère
tuievwcycjvnzxloarec,swkmlveakzupbfbnctms,zcciq,Vigenère
ueluxbedidozurgtexos,blsbeilkpkvgbynalevz,7,Caesar
gglorgzciapyyku pjjd,gzyjggcykjdlripupoa ,4,Rail Fence
dexu dzcbtyptbyexmq ,tkchsgdzvgbovcrcmfrl,qgfnf,Autokey
otuufz uyhdevsrqubqh,zwllui ltyqfahsdlmdy,"(15, 23)",Affine
ccuwdhysimxtwlcdzytx,dbgxxjameperotoasuez,bzmbu,Autokey
